store,budget_worked 2019-W36,worked 2019-W36,worked 2019-W35,worked 2018-W36,budget_diff,yoy
scarborough,157.0,144.433333333333,196.516666666667,,-8.00424628450108,
Alberta,422.0,325.55,281.683333333333,,-22.8554502369668,
Quebec,2988.0,2205.63333333333,2251.2,,-26.1836233824186,
sherway,232.0,157.25,200.55,,-32.2198275862069,
Ontario,2483.0,1895.7,2113.7,,-23.6528393072895,
GWA,151.0,147.666666666667,186.35,,-2.20750551876381,
GTA,1949.0,1451.21666666667,1618.45,,-25.5404480930391,
Grand_Total,6348.0,4859.8,5112.6,,-23.4436042848141,
REGIONAL_ON,145.0,133.616666666667,160.85,,-7.85057471264368,
guildford,174.0,128.783333333333,112.566666666667,,-25.9865900383142,
GEA,248.0,112.316666666667,114.466666666667,,-54.7110215053763,
bayshore,170.0,166.3,167.633333333333,,-2.17647058823529,
REGIONAL_QC,519.0,445.95,429.45,,-14.0751445086706,
stefoy,289.0,181.583333333333,173.416666666667,,-37.1683967704729,
rivieres,140.0,112.583333333333,111.416666666667,,-19.5833333333333,
limeridge,233.0,155.533333333333,157.05,,-33.2474964234621,
mapleview,181.0,148.583333333333,201.683333333333,,-17.9097605893186,
GCA,174.0,213.233333333333,167.216666666667,,22.5478927203065,
ottawa,219.0,144.566666666667,166.766666666667,,-33.9878234398782,
polopark,151.0,147.666666666667,186.35,,-2.20750551876381,
mtltrust,302.0,232.083333333333,266.083333333333,,-23.1512141280353,
GOA,598.0,424.116666666667,455.983333333333,,-29.0774804905239,
GQA,550.0,360.083333333333,330.333333333333,,-34.530303030303,
pacificcentre,50.0,156.466666666667,167.1,,212.933333333333,
GVA,224.0,285.25,279.666666666667,,27.34375,
westedmonton,248.0,112.316666666667,114.466666666667,,-54.7110215053763,
squareone,243.0,171.566666666667,189.4,,-29.3964334705076,
gcapitale,261.0,178.5,156.916666666667,,-31.6091954022989,
stbruno,292.0,242.083333333333,238.933333333333,,-17.0947488584475,
dix30,362.0,197.666666666667,176.75,,-45.3959484346225,
sherbrooke,186.0,183.483333333333,175.416666666667,,-1.35304659498207,
GMA,1710.0,1286.35,1369.83333333333,,-24.7748538011696,
uppercanada,197.0,146.85,133.233333333333,,-25.4568527918782,
laval,359.0,271.416666666667,303.983333333333,,-24.3964716805942,
marketmall,174.0,213.233333333333,167.216666666667,,22.5478927203065,
eatonto,321.0,301.95,302.416666666667,,-5.93457943925236,
massonville,145.0,133.616666666667,160.85,,-7.85057471264368,
oshawa,140.0,102.25,113.533333333333,,-26.9642857142857,
gatineau,209.0,113.25,121.583333333333,,-45.8133971291866,
Fairview,156.0,168.666666666667,177.083333333333,,8.11965811965816,
chicoutimi,193.0,149.883333333333,142.616666666667,,-22.3402417962003,
British Columbia,224.0,285.25,279.666666666667,,27.34375,
Manitoba,151.0,147.666666666667,186.35,,-2.20750551876381,
anjou,239.0,174.433333333333,207.0,,-27.0153417015342,
vaughan,245.0,122.8,124.066666666667,,-49.8775510204082,
